Wind_power_MW,Solar_power_kW,Consumption_MW
145.5651893,0,47.48
148.1568544,0,45.08
151.1804636,0,43.07
148.5887986,0,38.77
145.5651893,0,34.70
142.9735242,0,33.33
139.9499149,0,30.84
136.4943615,0,31.18
133.4707522,0,30.15
135.6304731,0,31.13
137.790194,0,32.50
139.9499149,0,36.17
130.8790871,257.2032,36.51
121.3763151,378.624,41.02
111.8735431,642.9696,45.13
101.5068827,1167.5904,43.12
91.14022237,564.4032,42.97
80.34161782,1311.2832,42.78
65.65551564,257.2032,41.26
50.53746928,621.0816,40.18
35.85136709,0,39.89
34.12359037,0,40.72
31.96386946,0,45.08
30.23609273,0,47.48
32.39581364,0,44.69
34.55553455,0,46.74
37.14719964,0,42.49
43.19441818,0,37.39
49.24163673,0,35.49
55.28885528,0,33.19
60.47218546,0,29.32
65.65551564,0,30.35
70.83884582,0,29.00
74.29439928,0,32.06
77.74995273,0,33.63
81.20550619,0,38.32
81.20550619,214.3488,41.11
81.63745037,507.1872,44.54
81.63745037,592.9728,43.46
72.13467837,742.9632,44.93
63.06385055,378.624,41.65
53.56107855,4721.5872,41.07
47.08191582,592.2816,40.09
41.03469728,1166.8992,39.25
34.55553455,0,42.44
49.67358091,0,41.51
65.22357146,0,46.94
80.34161782,0,45.37
88.54855728,0,47.67
96.75549673,0,44.15
104.9624362,0,42.73
112.3054873,0,37.84
120.0804826,0,31.67
127.4235336,0,31.23
133.4707522,0,29.66
139.5179707,0,27.80
145.5651893,0,28.93
144.7013009,0,30.40
144.2693567,0,29.71
143.4054684,0,36.17
134.3346406,780.288,39.30
125.2638127,1344.4608,41.70
116.1929849,1153.4592,42.00
103.2346595,1964.3904,42.14
90.27633401,707.2512,40.58
77.31800855,678.6816,40.63
85.95689219,1452.9792,40.23
94.59577583,1555.5072,40.97
103.2346595,0,40.72
117.4888175,0,39.55
132.1749196,0,43.22
146.4290776,0,45.37
147.292966,0,47.53
148.1568544,0,46.55
149.0207427,0,41.31
147.292966,0,37.10
145.5651893,0,32.26
143.4054684,0,29.47
145.1332451,0,29.51
146.4290776,0,27.70
147.7249102,0,28.24
